,Unnamed: 0,block_order,block_name,stimuli,valence,random_fixation,movement,accuracy,response_time,ImpVsExp,participant,Group,Race,Gender,Duration (in seconds),ResponseId,Age,CurrentGender,Sex,RaceEthnicity,Check1_1,Political_1,Zip,Occupations,PSYID,FTBlack_1,VCNegBlack_1,VCPosBlack_1,ECBlack_Neighbors,ECBlack_WorkColleagues,ECBlack_CloseFriends,ECBlack_Married,FTWhite_1,VCNegWhite_1,VCPosWhite_1,ECWhite_Neighbors,ECWhite_WorkColleagues,ECWhite_CloseFriends,ECWhite_Married,MiniIPI_1_1,MiniIPI_1_2,MiniIPI_1_3,MiniIPI_1_4,MiniIPI_1_5,MiniIPI_2_1,MiniIPI_2_2,MiniIPI_2_3,MiniIPI_2_4,MiniIPI_2_5,MiniIPI_3_1,MiniIPI_3_2,MiniIPI_3_3,MiniIPI_3_4,MiniIPI_3_5,MiniIPI_4_1,MiniIPI_4_2,MiniIPI_4_3,MiniIPI_4_4,MiniIPI_4_5,Unclear,Comments ,reindex,accuracy_total,race,gender,Total RT Approach Male,Total RT Avoid Male,Total RT Approach Female,Total RT Avoid Female,Total RT Approach Black,Total RT Avoid Black,Total RT Approach White,Total RT Avoid White,Avg Total RT Approach Male,Avg Total RT Avoid Male,Avg Total RT Approach Female,Avg Total RT Avoid Female,Avg Total RT Approach Black,Avg Total RT Avoid Black,Avg Total RT Approach White,Avg Total RT Avoid White,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
1271,3310,1,blkTestCatAAp,49,2,1800,Approach,1,498,Implicit,s.aede3177-c305-4c36-9fe8-a16e85aefb28.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,853,R_30o7p4uc5pL3cC9,32,Male,Male,Black or African American alone,Absolutely not true,Conservative,18466,Other,jLkHKMqpL5,72,3,5.0,4,4,4,4,70,3,5.0,4,4,4,4,2,3,5,2,4,3,2,2,3,3,2,3,4,4,3,2,3,4,4,3,The only thing that was slightly unclear was doing the gaming part of it. It took me a minute to realize where some of the name of the colors had to be moved until I finally got it. That was my only problem.,The game part was a little bit confusing but I got it right away after a good minute. The questions didn't bother me at all and felt comfortable in answering them.,,1.0,black,male,4821.0,4700.0,4495.0,4331.0,4804.0,4735.0,4512.0,4296.0,482.1,470.0,449.5,433.1,480.4,473.5,451.2,429.6,3.25,3.75,2.25,2.75,3.25
1311,3410,1,blkTestCatAAp,50,1,1800,Avoid,1,681,Implicit,s.a4d52145-697e-4e04-9479-1de08783fa94.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,750,R_pcRdeUK3XheYyR3,41,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Slightly liberal,35242,Data processing,njMdWSgavV,50,1,4.0,None,2,None,None,50,1,4.0,All,5,All,All,2,4,4,2,3,3,4,4,2,4,4,3,4,2,4,3,4,4,2,3,Nothing was unclear,Nothing to add,,1.0,black,male,5931.0,6126.0,5885.0,6275.0,5679.0,6133.0,6137.0,6268.0,593.1,612.6,588.5,627.5,567.9,613.3,613.7,626.8,3.5,4.0,3.0,3.75,2.0
1351,3510,1,blkTestCatAAp,38,1,2000,Avoid,1,1187,Implicit,s.135134c3-dd71-4561-9e1f-f32835d37240.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,947,R_2EFxbuSctO9Hvhj,34,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Strongly liberal,17551,Food services,7gOajT6saf,80,1,7.0,None,2,None,2,71,2,6.0,All,All,All,All,1,5,2,4,5,1,4,2,4,5,1,3,4,4,5,1,3,2,4,3,No,Nope ty,,1.0,white,female,5702.0,6475.0,5821.0,9212.0,5874.0,8553.0,5649.0,7134.0,570.2,647.5,582.1,921.2,587.4,855.3,564.9,713.4,4.5,2.5,1.0,3.75,4.0
1391,3610,1,blkTestCatAAp,35,2,1500,Approach,1,823,Implicit,s.504bb672-6bbe-4b2c-85c8-c9ae33f2fe7f.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,743,R_1LvdteXkesxFRMk,54,Male,Male,Black or African American alone,Absolutely not true,Slightly liberal,35816,Other,ZAtbCG2atV,100,1,7.0,All,All,All,All,54,5,3.0,2,3,2,None,1,4,4,1,3,2,2,5,2,2,2,2,4,1,4,2,2,5,3,4,no,no,,0.975,white,male,6913.0,6003.0,6610.0,6446.0,7013.0,5496.0,6510.0,6953.0,691.3,600.3,734.4444444444445,644.6,701.3,549.6,723.3333333333334,695.3,3.25,4.5,1.75,2.5,1.75
1430,3710,1,blkTestCatAAp,56,1,1500,Avoid,1,788,Implicit,s.89c4d395-db0e-4572-b34d-61fb7cb51941.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,667,R_QnQ86xJ5Da2CyJz,24,Female,Female,Black or African American alone,Absolutely not true,Strongly liberal,77071,Other,YYEAxNM7BH,99,1,7.0,All,All,All,All,27,5,4.0,All,All,All,All,3,4,2,2,5,2,2,4,2,3,2,2,4,3,4,2,2,4,3,5,No,No,yes,1.0,black,female,6515.0,6562.0,6634.0,7047.0,6837.0,6964.0,6312.0,6645.0,651.5,656.2,663.4,704.7,683.7,696.4,631.2,664.5,4.25,3.5,2.25,2.5,2.5
1470,3810,1,blkTestCatAAp,46,1,1200,Avoid,1,633,Implicit,s.2cbbeb8b-b926-424b-96ae-83cf64415075.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,831,R_2taOMaYRdmx2OM9,40,Male,Male,Black or African American alone,Absolutely not true,Slightly liberal,75217,Other,QyG3R8s4aO,95,2,6.0,None,None,All,5,80,2,6.0,None,3,None,None,1,4,3,1,4,1,3,3,1,5,1,3,4,1,4,1,3,3,2,4,No,No,yes,1.0,black,male,6770.0,8120.0,7162.0,8548.0,7034.0,8312.0,6898.0,8356.0,677.0,812.0,716.2,854.8,703.4,831.2,689.8,835.6,4.25,3.25,1.0,3.25,1.25
1510,3910,1,blkTestCatAAp,33,2,1300,Approach,1,955,Implicit,s.5e7daefa-fb31-475a-b91e-5f26f5bd7e68.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1296,R_1DTiqPU9nULyWi5,45,Female,Female,Black or African American alone,Absolutely not true,Moderate,33712,Other,C2K5nP4xD9,100,3,6.0,4,2,All,4,61,4,3.0,3,3,3,3,2,4,4,4,4,1,3,2,2,3,2,4,4,4,3,2,3,4,4,4,"No it was all self explainatory, just had to write down the instructions when they switched so as to make sure I was doing it correctly.","No, this was my first time taking a survey like this, it was interesting.",yes,1.0,white,male,8391.0,9095.0,8127.0,7712.0,8234.0,7881.0,8284.0,8926.0,839.1,909.5,812.7,771.2,823.4,788.1,828.4,892.6,3.5,3.5,1.75,3.5,3.5
1550,4010,1,blkTestCatAAp,37,2,1300,Approach,1,2766,Implicit,s.5016004f-39d5-4d7a-9769-8eb65fb67e39.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1425,R_2aE7BFlHGqKWDpN,48,Male,Male,Black or African American alone,Absolutely not true,Moderate,65109,Publishing,kNbS8JpeJv,70,2,,2,2,None,None,80,3,5.0,5,5,None,None,1,3,2,2,3,3,2,3,3,3,1,3,4,3,3,2,3,3,4,3,Everything was clear,No,yes,1.0,white,female,18118.0,20243.0,17793.0,16921.0,19318.0,19155.0,16593.0,18009.0,1811.8,2024.3,1779.3,1692.1,1931.8,1915.5,1659.3,1800.9,3.0,3.0,1.75,2.75,3.0
1590,4110,1,blkTestCatAAp,40,1,1200,Avoid,1,2723,Implicit,s.64096838-f224-450f-a750-b3159776afba.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,975,R_3QSM7lomQA4uNxx,36,Female,Female,Black or African American alone,Absolutely not true,Moderate,33033,Other,LfxjHhyXgA,93,2,6.0,4,3,4,4,82,3,6.0,3,4,3,3,2,4,4,3,5,1,3,3,2,2,2,4,3,4,4,1,4,4,3,4,There was nothing unclear.,I have no further comments at this time.,yes,0.95,white,female,7193.0,6832.0,7313.0,9558.0,7361.0,7408.0,7145.0,8982.0,719.3,683.2,914.125,955.8,817.8888888888889,740.8,793.8888888888889,898.2,3.75,3.5,1.5,3.75,3.0
1628,4210,1,blkTestCatAAp,27,2,900,Approach,1,910,Implicit,s.239ec54c-26ee-44fa-9a0b-0605fcb1a71f.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1245,R_3M43iJIfGGvExHA,38,Female,Female,Black or African American alone,Absolutely not true,Strongly liberal,43231,Other,zWZNO4M9Pe,100,2,6.0,3,All,All,None,51,4,5.0,5,None,2,None,5,5,5,1,5,5,2,1,1,4,4,5,5,3,4,5,4,5,5,5,no i understood what was going on,no additional comments,yes,0.975,white,male,8678.0,7552.0,8488.0,8622.0,8116.0,7768.0,9050.0,8406.0,867.8,839.1111111111111,848.8,862.2,811.6,863.1111111111111,905.0,840.6,4.5,4.0,4.75,4.0,2.5
1667,4310,1,blkTestCatAAp,52,1,1800,Avoid,1,585,Implicit,s.5debefca-f10b-4fc6-a2b2-ce0d04b0e2d3.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,878,R_wSIasJHFZTGupvb,20,Female,Female,Black or African American alone,Absolutely not true,Moderate,38703,Prefer not to say,6AMv2xNkV6,90,1,6.0,4,None,None,None,70,1,6.0,None,None,None,None,1,4,4,3,3,2,4,4,4,3,1,3,3,3,3,1,3,3,3,3,Somewhat Clear I guess.,"Uh, Not really ",yes,0.925,black,male,4376.0,5427.0,3451.0,5607.0,3929.0,5432.0,3898.0,5602.0,437.6,542.7,493.0,560.7,491.125,543.2,433.1111111111111,560.2,3.0,3.5,1.25,3.5,3.25
1704,4410,1,blkTestCatAAp,28,1,1900,Avoid,1,3280,Implicit,s.8b1715b2-576e-48a5-b943-6c3eb9e81eff.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1402,R_qU6SAqwLbD98Ddf,67,Female,Female,Black or African American alone,Absolutely not true,Slightly liberal,77068,Other,rEXnQNJXuE,93,1,6.0,2,None,5,5,82,3,6.0,3,None,4,3,4,4,4,2,4,4,4,3,2,5,5,5,4,2,5,4,5,4,2,5,"the questions that asked if you have friend/neighbors or knew someone that did, but was asked to exclude #1 and #2 below.

those answers may not be right, because do not understand what or who I was supposed to exclude.",those questions above were very confusing.,yes,1.0,white,male,13822.0,13939.0,12415.0,14158.0,12294.0,13215.0,13943.0,14882.0,1382.2,1393.9,1241.5,1415.8,1229.4,1321.5,1394.3,1488.2,4.75,3.75,4.25,4.5,2.0
1744,4511,1,blkTestCatAAp,57,2,1000,Approach,1,758,Implicit,s.5c5448d9-098c-4585-bb58-0562188fca94.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,754,R_1gAzPCvWgfOKur2,53,Female,Female,"White alone, not Hispanic or Latino",Absolutely not true,Slightly liberal,60610,Other,5pPrfcsVN9,50,3,6.0,5,5,5,4,50,3,6.0,5,5,5,5,3,4,2,4,5,4,5,2,3,4,2,4,3,3,4,3,4,2,4,4,,The study was difficult for me because having to advance by using one of the same keys that I used to respond to the prompt seemed to prejudice the likelihood of using that same key to respond.,yes,0.8,black,female,6188.0,6897.0,4022.0,6273.0,4399.0,6426.0,5811.0,6744.0,773.5,766.3333333333334,670.3333333333334,697.0,733.1666666666666,714.0,726.375,749.3333333333334,4.25,2.25,3.0,4.25,3.5
1776,4610,1,blkTestCatAAp,43,2,800,Approach,1,638,Implicit,s.a21523e4-6d82-4055-b328-626f7f198f2d.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,745,R_Aaf210x1de13xRL,37,Male,Male,Black or African American alone,Absolutely not true,Slightly liberal,23502,Information services,AUK6ZxK5cn,96,2,6.0,5,4,4,2,58,3,5.0,4,4,3,3,4,5,4,2,4,2,4,4,2,4,2,4,3,1,4,2,4,3,3,4,no,,yes,1.0,white,female,5592.0,5269.0,5733.0,5789.0,5683.0,5604.0,5642.0,5454.0,559.2,526.9,573.3,578.9,568.3,560.4,564.2,545.4,4.0,3.5,2.5,4.25,2.0
1816,4710,1,blkTestCatAAp,62,1,1600,Avoid,1,2288,Implicit,s.a4be2517-3d18-4a16-8d70-cfc53aeecc35.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1604,R_sHW40POETEyD8Qx,62,Female,Female,Black or African American alone,Absolutely not true,Slightly liberal,96740,Other,Teqryb2uaL,90,1,6.0,5,5,5,4,90,1,7.0,5,5,3,4,1,5,2,1,3,3,4,4,2,4,2,4,4,2,4,2,5,4,1,5,No.,I think I may have gotten distracted and made a mistake.  Someone started talking to me or asked me a question.  This did annoy me ( who doesn't get upset easily).,yes,0.975,black,female,11642.0,10781.0,10964.0,14825.0,11451.0,14247.0,11155.0,11359.0,1293.5555555555557,1078.1,1096.4,1482.5,1272.3333333333333,1424.7,1115.5,1135.9,4.0,3.5,2.0,4.5,1.5
1855,4810,1,blkTestCatAAp,60,1,1000,Avoid,1,3662,Implicit,s.3fb6763f-9b9a-4f1f-8de4-c14f8d123b6e.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,913,R_5tdCx9HTZzreClP,31,Female,Female,Black or African American alone,Absolutely not true,Moderate,46205,Other,GTGBCO799j,60,5,5.0,5,2,3,4,62,4,5.0,2,5,4,None,3,4,4,2,5,1,3,2,2,5,3,4,4,1,5,2,2,2,2,5,There was nothing unclear during this study.,I don't have any comments.,yes,0.85,black,female,9588.0,8825.0,10665.0,8031.0,10425.0,12396.0,9828.0,4460.0,1198.5,980.5555555555555,1066.5,1147.2857142857142,1303.125,1377.3333333333333,982.8,637.1428571428571,5.0,3.0,2.25,3.25,1.75
1889,4910,1,blkTestCatAAp,44,1,1700,Avoid,1,480,Implicit,s.f378dd01-e682-438d-8a4a-fa174d344686.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,869,R_2B4zjEMg3FfmPgv,28,Female,Female,Black or African American alone,Absolutely not true,Strongly liberal,77099,Other,3Mqu6wLBgG,35,4,3.0,4,None,2,4,56,3,5.0,None,None,4,None,1,3,4,1,3,1,1,4,5,5,1,2,5,5,5,1,5,4,5,3,No.,,yes,0.85,white,female,4283.0,4337.0,3993.0,5361.0,4148.0,4178.0,4128.0,5520.0,475.8888888888889,619.5714285714286,499.125,536.1,460.8888888888889,596.8571428571429,516.0,552.0,4.0,4.25,1.0,2.75,4.0
1923,5010,1,blkTestCatAAp,36,1,900,Avoid,1,1431,Implicit,s.ca569180-0db0-492b-b88d-6cb8a91d6bee.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,2516,R_3qjkyBIHyd1cHHy,71,Female,Female,Black or African American alone,Absolutely not true,Moderate,40299,Food services,tRAX6FzNYU,93,3,5.0,2,4,5,5,57,3,5.0,5,5,3,3,2,4,2,1,3,3,4,4,3,4,2,4,4,2,4,2,4,4,3,4,Not really .. I thunk I pretty much understood what was asked.,No,yes,1.0,white,female,8803.0,10490.0,9494.0,9193.0,9510.0,9171.0,8787.0,10512.0,880.3,1049.0,949.4,919.3,951.0,917.1,878.7,1051.2,3.75,3.5,2.25,4.0,2.25
1963,5110,1,blkTestCatAAp,27,2,1400,Approach,1,769,Implicit,s.9908f209-8005-436b-93a8-834cbb7a23f0.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,975,R_3NHTJaKbfVcf8q0,41,Female,Female,Black or African American alone,Absolutely not true,Slightly conservative,60615,Education,UwGxzP4LGS,80,2,,All,All,All,4,50,2,4.0,All,All,All,3,1,5,2,3,4,4,2,2,3,5,1,5,5,2,5,1,5,3,3,5,interesting,none,yes,0.95,white,male,8348.0,8205.0,10814.0,10809.0,8513.0,8967.0,10649.0,10047.0,834.8,911.6666666666666,1201.5555555555557,1080.9,945.8888888888889,996.3333333333334,1064.9,1004.7,4.75,3.0,1.75,4.25,2.75
2001,5210,1,blkTestCatAAp,36,1,1600,Avoid,1,576,Implicit,s.9a604c1a-2063-40f4-a045-979f0df8838f.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1055,R_27p6izB5Zkdz1op,36,Female,Female,Black or African American alone,Absolutely not true,Liberal,33139,Other,vtOaf7hJys,90,2,6.0,2,4,4,3,62,3,5.0,5,4,4,3,2,4,1,3,5,2,2,1,5,3,3,4,3,4,5,3,2,4,4,5,,,yes,0.925,white,female,5703.0,4691.0,5545.0,5468.0,5256.0,5245.0,5992.0,4914.0,570.3,521.2222222222222,616.1111111111111,607.5555555555555,584.0,582.7777777777778,599.2,546.0,4.5,2.25,2.5,3.0,4.0
2038,5310,1,blkTestCatAAp,44,1,1400,Avoid,1,919,Implicit,s.36a7a88c-8eda-475d-9b25-83d48e7cef91.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1538,R_3EHj7YvQl8TOD5Z,68,Male,Male,Black or African American alone,Absolutely not true,Moderate,90018,Other,DHXk8uZVBj,80,2,6.0,4,4,4,4,80,1,6.0,3,3,3,None,1,5,4,1,1,1,5,5,2,4,1,4,5,1,4,2,5,5,2,4,No,No,yes,1.0,white,female,11126.0,8410.0,9519.0,8099.0,8970.0,8339.0,11675.0,8170.0,1112.6,841.0,951.9,809.9,897.0,833.9,1167.5,817.0,3.25,4.75,1.25,4.75,1.5
2078,5411,1,blkTestCatAAp,65,2,1400,Approach,1,1325,Implicit,s.fd234f72-d177-4f99-9884-392383a0716c.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1847,R_3rNbwtojRpMuZiD,74,Male,Male,Black or African American alone,Absolutely not true,Liberal,7945,Other,9CrUKMuDWn,100,1,7.0,2,2,3,4,90,1,7.0,5,5,5,5,3,5,4,2,5,4,4,4,1,4,5,4,4,1,4,3,4,4,2,4,No. It's fairly logical when you take the time to read the instructions.,No.,yes,0.925,black,female,7495.0,9308.0,9561.0,8727.0,8250.0,8012.0,8806.0,10023.0,936.875,930.8,1062.3333333333333,872.7,1031.25,801.2,978.4444444444445,1002.3,4.25,4.0,3.75,4.25,1.5
2115,5510,1,blkTestCatAAp,60,1,1200,Avoid,1,1165,Implicit,s.100ef57e-717d-4bf6-bfdb-c3dd1a5644a1.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,938,R_3Pn27NKQUHGNXKB,40,Female,Female,Black or African American alone,Absolutely not true,Moderate,33712,Agriculture,RasPGNsJ5P,92,1,7.0,5,4,5,5,70,3,6.0,5,5,3,3,3,5,4,3,3,4,4,4,2,3,3,4,5,2,3,2,3,4,3,3,no,no,yes,1.0,black,female,6757.0,5918.0,6613.0,7618.0,6351.0,6652.0,7019.0,6884.0,675.7,591.8,661.3,761.8,635.1,665.2,701.9,688.4,3.0,4.25,3.0,4.0,2.5
2155,5610,1,blkTestCatAAp,32,1,1400,Avoid,1,2304,Implicit,s.af47dcdd-b2f2-4f02-82ab-6ec0da01f57b.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1184,R_3MyAxgyVpj8xK6H,72,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Strongly conservative,79924,Health care,O728VKPWGT,29,5,5.0,3,3,2,None,100,4,7.0,4,3,5,All,3,4,2,5,5,3,4,2,5,3,4,4,4,5,1,2,4,2,5,5,NONE,NONE,yes,1.0,white,male,10380.0,12285.0,10420.0,13339.0,9434.0,12101.0,11366.0,13523.0,1038.0,1228.5,1042.0,1333.9,943.4,1210.1,1136.6,1352.3,3.5,2.5,3.0,4.0,5.0
2195,5710,1,blkTestCatAAp,26,1,1800,Avoid,1,609,Implicit,s.547f85ac-e61c-4c26-aaeb-9a0cc7d3dcd9.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,643,R_2xEuDyaODyOrkDx,19,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Strongly conservative,64055,Other,WUOEK8wnVL,97,3,6.0,2,2,2,2,100,3,6.0,5,5,5,5,4,4,3,2,5,4,4,4,2,3,2,2,4,3,4,3,4,4,2,5,,,yes,0.975,white,male,4974.0,4656.0,4513.0,3997.0,4623.0,3781.0,4864.0,4872.0,497.4,465.6,451.3,444.1111111111111,462.3,420.1111111111111,486.4,487.2,4.25,3.75,3.25,3.5,2.25
2234,5810,1,blkTestCatAAp,41,2,1700,Approach,1,619,Implicit,s.a04caf02-3351-40e7-ae4c-e3ef4b829cde.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,828,R_2QzKir0YYQi3VB7,33,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Conservative,64763,Entertainment,W4yzDNsqmt,51,3,5.0,5,4,5,5,100,5,4.0,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Nope,None,yes,0.975,white,female,5905.0,5616.0,6220.0,4683.0,5880.0,5506.0,6245.0,4793.0,590.5,561.6,622.0,520.3333333333334,588.0,550.6,624.5,532.5555555555555,3.0,3.0,3.0,3.0,3.0
2273,5910,1,blkTestCatAAp,56,1,1300,Avoid,1,332,Implicit,s.808497d4-2f9e-49e8-a13c-c2c97272b029.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,859,R_1dbnLXKQc9Aym6G,21,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Strongly conservative,91786,Entertainment,cYYtGkshEq,70,5,4.0,None,4,5,3,90,4,6.0,All,5,5,5,4,4,3,4,3,3,2,2,3,4,2,3,3,2,3,2,4,2,2,3,I don't believe so,Not at all,yes,0.925,black,female,3929.0,4941.0,5333.0,4468.0,4279.0,4406.0,4983.0,5003.0,491.125,494.1,533.3,496.44444444444446,475.44444444444446,489.55555555555554,553.6666666666666,500.3,3.25,2.5,2.75,3.25,2.75
2310,6010,1,blkTestCatAAp,57,2,900,Approach,1,809,Implicit,s.7c5508fc-921c-4c4e-bd04-db7e36bf625f.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1421,R_3p2Q1OVO71U4QIq,34,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Moderate,91103,Education,DXpDff3TtE,71,2,5.0,3,4,2,None,92,2,6.0,All,All,All,5,2,4,4,2,3,4,3,4,2,4,3,4,4,2,4,4,3,4,4,4,Everything was clear,None,yes,1.0,black,female,6603.0,7132.0,7005.0,7031.0,6836.0,7276.0,6772.0,6887.0,660.3,713.2,700.5,703.1,683.6,727.6,677.2,688.7,3.75,4.0,3.25,3.5,2.5
2350,6110,1,blkTestCatAAp,46,1,900,Avoid,1,450,Implicit,s.75128c5b-2917-423a-9215-c67d1d484816.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,728,R_3fZXYEm8ySTiOZi,57,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Liberal,85737,Other,AgjnU8D7vA,70,1,5.0,2,2,2,None,70,1,6.0,5,4,5,All,1,4,5,1,2,2,4,5,2,4,2,4,5,1,4,2,4,5,1,4,,,yes,1.0,black,male,6413.0,5326.0,5539.0,5175.0,5926.0,5230.0,6026.0,5271.0,641.3,532.6,553.9,517.5,592.6,523.0,602.6,527.1,3.5,5.0,1.75,4.0,1.25
2390,6210,1,blkTestCatAAp,36,1,2000,Avoid,1,689,Implicit,s.acf428c1-7ca1-4d78-8186-c4d59b207feb.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1415,R_1RdyPZI18eFhzK9,69,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Strongly conservative,29681,Other,6N8DTTyKPB,19,4,4.0,2,2,2,2,92,2,6.0,5,5,5,All,3,4,5,2,5,4,4,5,2,3,3,4,5,2,3,4,4,5,2,5,I'm not sure what the first part of the study might reveal about someone. To see if people will remember instructions doing repetitive task maybe?,Nothing to add.,yes,0.975,white,female,7667.0,6914.0,8730.0,7260.0,7818.0,6794.0,8579.0,7380.0,851.8888888888889,691.4,873.0,726.0,868.6666666666666,679.4,857.9,738.0,4.0,5.0,3.5,4.0,2.0
2429,6310,1,blkTestCatAAp,58,1,800,Avoid,1,747,Implicit,s.35887f6c-b16a-4c8d-8fe0-4171e6bb7fb1.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1224,R_3k6VIWly2K4j2GM,55,Female,Female,Black or African American alone,Absolutely not true,Moderate,27105,Other,as3Lhbbrvn,100,4,5.0,All,All,All,All,100,6,5.0,None,4,5,None,3,5,4,4,4,4,4,2,2,3,2,4,4,4,3,3,2,2,4,2,Well the questions did catch me off guard a little,no,yes,1.0,black,female,10129.0,11529.0,10480.0,10430.0,10493.0,10779.0,10116.0,11180.0,1012.9,1152.9,1048.0,1043.0,1049.3,1077.9,1011.6,1118.0,3.0,3.0,3.0,3.75,3.5
2469,6410,1,blkTestCatAAp,29,2,2000,Approach,1,1363,Implicit,s.946e1ed8-6f64-4dcc-965b-58f6aeac9bba.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,804,R_2rZ5izQC3SiXZ0Z,55,Male,Male,Black or African American alone,Absolutely not true,Moderate,73505,Military,cZj6POLqst,100,1,7.0,5,5,3,2,71,2,6.0,5,5,2,2,2,4,4,2,2,4,4,4,2,4,2,4,5,2,4,4,4,4,2,2,Nothing unclear,None at this time,yes,0.975,white,male,8315.0,7716.0,7855.0,5104.0,7810.0,6105.0,8360.0,6715.0,831.5,771.6,785.5,567.1111111111111,781.0,610.5,836.0,746.1111111111111,3.0,4.25,3.0,4.0,2.0
2508,6510,1,blkTestCatAAp,38,1,1000,Avoid,1,529,Implicit,s.51a5f3e8-8644-437c-a7bd-2d9a5a8ff042.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1123,R_1d4fED9xoFNtxlS,25,Female,Female,Black or African American alone,Absolutely not true,Moderate,38701,Other,ntsMjsWRjH,62,4,5.0,4,4,5,All,47,5,5.0,4,5,2,None,1,4,2,3,5,2,3,2,4,4,1,3,3,3,5,1,3,5,5,5,,,yes,0.975,white,female,7358.0,5985.0,6484.0,6015.0,7287.0,5961.0,6555.0,6039.0,735.8,598.5,648.4,668.3333333333334,728.7,662.3333333333334,655.5,603.9,4.75,3.0,1.25,3.25,3.75
2547,6610,1,blkTestCatAAp,30,1,1000,Avoid,1,460,Implicit,s.a2e33de1-b9e3-41c0-8bf4-29d0ac86e599.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,646,R_tGwCF2cCkhR4wgh,20,Male,Male,Black or African American alone,Absolutely not true,Moderate,27284,Prefer not to say,xvt5Xu4RFr,72,1,7.0,2,3,2,3,71,3,5.0,5,3,3,3,3,2,4,3,4,3,2,3,1,3,1,3,4,4,3,2,3,4,4,3,,,yes,0.975,white,male,6081.0,4956.0,5032.0,4142.0,5510.0,4200.0,5603.0,4898.0,608.1,495.6,503.2,460.22222222222223,551.0,466.6666666666667,560.3,489.8,3.25,3.75,2.25,2.5,3.0
